130,326
137,409
150,158
146,225
138,409
123,162
121,133
147,230
133,400
135,421
142,340
131,353
136,393
148,183
139,382
127,234
128,290
144,282
122,155
156,32
141,370
149,175
132,409
140,381
152,112
154,67
145,275
118,65
143,337
134,438
119,114
125,211
107,10
151,132
120,115
115,49
129,279
124,189
126,225
153,85
114,42
116,65
112,21
109,15
117,55
90,2
113,33
157,25
155,46
111,16
158,23
159,13
162,3
108,10
160,9
110,24
106,8
103,2
161,4
164,3
101,2
102,2
100,1
168,2
105,4
163,4
104,6
98,1
97,1
99,2
169,1
