289,29
271,7
284,26
297,24
276,11
285,25
286,27
255,7
272,10
269,12
312,14
306,22
318,6
300,26
305,18
296,14
301,21
295,25
279,9
294,32
298,23
270,10
325,4
277,15
273,15
331,2
274,21
311,7
303,12
290,13
280,18
254,5
264,7
316,6
320,10
247,5
281,18
265,6
287,24
278,18
307,18
283,12
266,12
323,4
317,9
304,10
260,3
309,14
333,2
282,13
288,18
310,13
216,2
293,19
308,12
268,11
244,2
291,17
275,19
321,4
262,10
328,2
313,16
314,6
299,16
250,1
237,2
231,1
292,14
326,3
234,2
248,5
249,9
315,7
319,5
261,12
327,3
240,2
258,5
256,4
302,11
251,3
259,5
246,3
322,2
243,3
252,1
267,9
257,4
263,5
329,1
245,2
241,2
232,1
236,1
242,1
324,1
226,1
334,1
